//Advanced product option Module 
"Advanced Options", "Advanced Options"
"Manage Option Template", "Manage Option Template"
"Configuration", "Configuration"
"List of templates", "List of templates"
"Add Template", "Add Template"
"ID", "ID"
"Title", "Title"
"Status", "Status"
"Action", "Action"
"Edit", "Edit"
"Save Template", "Save Template"
"Delete Template", "Delete Template"
"Edit Template '%s'", "Edit Template '%s'"
"Template Information", "Template Information"
"General Information", "General Information"
"Option Template", "Option Template"
"Products", "Products"
"Attribute Sets", "Attribute Sets"
"Enabled", "Enabled"
"Disabled", "Disabled" 
"Option quantity of product is not enough", "Option quantity of product is not enough"
"Apply for option image", "Apply for option image"
"Template Model", "Template Model"
"Please Select Template Options and Save the product to apply options", "Please Select Template Options and Save the product to apply options"
"Please select a template", "Please select a template"
"Copy product options by SKU", "Copy product options by SKU"
"Please insert product SKU and Save the product to apply options", "Please insert product SKU and Save the product to apply options"
"Item does not exist", "Item does not exist"
"Template was successfully saved", "Template was successfully saved"
"Unable to find item to save", "Unable to find item to save"
"Tempalte was successfully deleted", "Tempalte was successfully deleted"
"Please select template(s)", "Please select template(s)"
"Total of %d record(s) were successfully deleted", Total of %d record(s) were successfully deleted"
"Total of %d record(s) were successfully updated", "Total of %d record(s) were successfully updated"

// configuration
"Advanced Product Options", "Advanced Product Options"
"General", "General"
"Show option image for", "Show option image for"
"Selected options", "Selected options"
"All options", "All options"
"Default option image size", "Default option image size"
"Author Information", "Author Information"
